artist_id,artist_name,total_followers,genres,popularity
3gz6bSc7rsT9g4cB7r4xac,Young Vito,637,[],2
2EGJbNf0Hva2C2N6hvhMXD,Soulstice,67683,"['pinoy hip hop', 'tagalog rap']",37
4XpUIb8uuNlIWVKmgKZXC0,ZICO,1281615,"['k-pop', 'k-rap', 'korean r&b']",63
6Rx1JKzBrSzoKQtmbVmBnM,Hayley Williams,612589,"['art pop', 'indie pop']",65
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,10977445,"['dance pop', 'hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",83
4ETSs924pXMzjIeD6E9b4u,Surfaces,888722,"['bedroom soul', 'pop']",69
060TqET6tyyfAQLXDyIDD8,Raf Davis,63699,"['pinoy hip hop', 'pinoy trap']",45
4xXCRXOfQKQ2gjWxNhNzYW,Air Supply,3739256,"['mellow gold', 'soft rock']",69
6bmlMHgSheBauioMgKv2tn,Powfu,1156851,"['lo-fi chill', 'sad lo-fi', 'sad rap']",72
3PDFGpPl4ienSn5Vwisfrh,Flow G,944700,"['pinoy hip hop', 'pinoy r&b', 'tagalog rap']",67
7dxr6AabRWhsfYRyVJlErK,MC Einstein,107461,"['pinoy hip hop', 'tagalog rap']",52
0Cp8WN4V8Tu4QJQwCN5Md4,BENEE,745475,"['alt z', 'nz pop', 'pop']",68
3JsHnjpbhX4SnySpvpa9DK,V,12585788,"['j-division', 'korean ost']",69
2Q9c6ETFOkDDTy53U7DIgr,Maximillian,515759,"['gen z singer-songwriter', 'pop']",59
74cb3MG0x0BOnYNW1uXYnM,Hillsong UNITED,3695688,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",72
4tw2Lmn9tTPUv7Gy7mVPI4,Kenny Rogers,2432192,"['adult standards', 'classic country pop', 'country', 'mellow gold', 'nashville sound', 'soft rock']",69
0H39MdGGX6dbnnQPt6NQkZ,SAINt JHN,948976,"['melodic rap', 'rap', 'slap house']",71
